-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.534,  0.379
-183.775, 80.121, 0.719,  0.412
-183.762, 80.095, 0.756,  0.445
-183.747, 80.072, 0.726,  0.478
-183.730, 80.047, 0.803,  0.511
-183.708, 80.017, 0.973,  0.544
-183.683, 79.983, 1.095,  0.577
-183.658, 79.946, 1.191,  0.610
-183.631, 79.906, 1.306,  0.643
-183.604, 79.864, 1.360,  0.676
-183.578, 79.822, 1.398,  0.709
-183.551, 79.778, 1.430,  0.742
-183.525, 79.735, 1.466,  0.775
-183.497, 79.689, 1.510,  0.808
-183.470, 79.643, 1.554,  0.841
-183.442, 79.596, 1.587,  0.874
-183.414, 79.548, 1.611,  0.907
-183.386, 79.499, 1.633,  0.940
-183.358, 79.450, 1.657,  0.973
-183.329, 79.400, 1.682,  1.006
-183.301, 79.350, 1.702,  1.039
-183.272, 79.299, 1.718,  1.072
-183.243, 79.248, 1.733,  1.105
-183.214, 79.196, 1.748,  1.138
-183.186, 79.144, 1.762,  1.171
-183.157, 79.092, 1.774,  1.204
-183.128, 79.039, 1.785,  1.237
-183.099, 78.986, 1.795,  1.270
-183.071, 78.933, 1.805,  1.303
-183.042, 78.879, 1.814,  1.336
-183.013, 78.825, 1.821,  1.369
-182.985, 78.771, 1.829,  1.402
-182.957, 78.717, 1.836,  1.435
-182.929, 78.662, 1.843,  1.468
-182.901, 78.607, 1.849,  1.501
-182.873, 78.551, 1.854,  1.534
-182.845, 78.496, 1.859,  1.567
-182.818, 78.440, 1.864,  1.600
-182.791, 78.384, 1.869,  1.633
-182.764, 78.328, 1.875,  1.666
-182.737, 78.271, 1.879,  1.699
-182.711, 78.214, 1.882,  1.732
